,year,전용면적(㎡)_x,price,employment_rate(%),GDP(won),economysc,consumeprc,migrationpop,bankloan(1bw),room,bath,버스노선수,단지명_enc,enc_가좌동,enc_고양동,enc_관산동,enc_대화동,enc_덕은동,enc_덕이동,enc_도내동,enc_동산동,enc_마두동,enc_백석동,enc_사리현동,enc_삼송동,enc_성사동,enc_성석동,enc_식사동,enc_신원동,enc_원흥동,enc_일산동,enc_장항동,enc_주교동,enc_주엽동,enc_중산동,enc_지축동,enc_탄현동,enc_토당동,enc_풍동,enc_행신동,enc_향동동,enc_화정동
63,2012,43,9100,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0005304570771815047,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2012,52,10500,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0019450092829988506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2012,57,11700,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0019450092829988506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2012,84,15800,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0019450092829988506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2012,59,16066,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0017681902572716825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2012,84,20000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0017681902572716825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2012,59,17152,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.002917513924498276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2012,75,21640,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.002917513924498276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2012,84,22187,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.002917513924498276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2012,118,40500,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2012,134,36000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2012,163,45000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2012,84,31200,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2012,133,44228,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2012,164,44000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2012,40,11000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2012,49,12600,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2012,59,21560,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2012,69,26250,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2012,84,28115,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2012,59,19530,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2012,78,26288,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2012,45,16322,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2012,83,29933,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2012,52,18170,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2012,67,27262,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2012,84,35810,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0026522853859075237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2012,130,40477,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.001414552205817346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2012,101,55000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2012,133,57075,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2012,148,50000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0025638758730439394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2012,59,20470,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2012,61,21380,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,13,0.0017681902572716825,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
